ibge_code,municipio,estado,mesorregiao,microrregiao
150010,Abaetetuba,Pará,Nordeste Paraense,Cametá
150013,Abel Figueiredo,Pará,Sudeste Paraense,Paragominas
150020,Acará,Pará,Nordeste Paraense,Tomé-Açu
150030,Afuá,Pará,Marajó,Furos de Breves
150034,Água Azul do Norte,Pará,Sudeste Paraense,Parauapebas
150040,Alenquer,Pará,Baixo Amazonas,Santarém
150050,Almeirim,Pará,Baixo Amazonas,Almeirim
150060,Altamira,Pará,Sudoeste Paraense,Altamira
150070,Anajás,Pará,Marajó,Furos de Breves
150080,Ananindeua,Pará,Metropolitana de Belém,Belém
150085,Anapu,Pará,Sudoeste Paraense,Altamira
150090,Augusto Corrêa,Pará,Nordeste Paraense,Bragantina
150095,Aurora do Pará,Pará,Nordeste Paraense,Guamá
150100,Aveiro,Pará,Sudoeste Paraense,Itaituba
150110,Bagre,Pará,Marajó,Portel
150120,Baião,Pará,Nordeste Paraense,Cametá
150125,Bannach,Pará,Sudeste Paraense,São Félix do Xingu
150130,Barcarena,Pará,Metropolitana de Belém,Belém
150140,Belém,Pará,Metropolitana de Belém,Belém
150145,Belterra,Pará,Baixo Amazonas,Santarém
150150,Benevides,Pará,Metropolitana de Belém,Belém
150157,Bom Jesus do Tocantins,Pará,Sudeste Paraense,Paragominas
150160,Bonito,Pará,Nordeste Paraense,Bragantina
150170,Bragança,Pará,Nordeste Paraense,Bragantina
150172,Brasil Novo,Pará,Sudoeste Paraense,Altamira
150175,Brejo Grande do Araguaia,Pará,Sudeste Paraense,Marabá
150178,Breu Branco,Pará,Sudeste Paraense,Tucuruí
150180,Breves,Pará,Marajó,Furos de Breves
150190,Bujaru,Pará,Metropolitana de Belém,Castanhal
150200,Cachoeira do Arari,Pará,Marajó,Arari
150195,Cachoeira do Piriá,Pará,Nordeste Paraense,Guamá
150210,Cametá,Pará,Nordeste Paraense,Cametá
150215,Canaã dos Carajás,Pará,Sudeste Paraense,Parauapebas
150220,Capanema,Pará,Nordeste Paraense,Bragantina
150230,Capitão Poço,Pará,Nordeste Paraense,Guamá
150240,Castanhal,Pará,Metropolitana de Belém,Castanhal
150250,Chaves,Pará,Marajó,Arari
150260,Colares,Pará,Nordeste Paraense,Salgado
150270,Conceição do Araguaia,Pará,Sudeste Paraense,Conceição do Araguaia
150275,Concórdia do Pará,Pará,Nordeste Paraense,Tomé-Açu
150276,Cumaru do Norte,Pará,Sudeste Paraense,São Félix do Xingu
150277,Curionópolis,Pará,Sudeste Paraense,Parauapebas
150280,Curralinho,Pará,Marajó,Furos de Breves
150285,Curuá,Pará,Baixo Amazonas,Santarém
150290,Curuçá,Pará,Nordeste Paraense,Salgado
150293,Dom Eliseu,Pará,Sudeste Paraense,Paragominas
150295,Eldorado do Carajás,Pará,Sudeste Paraense,Parauapebas
150300,Faro,Pará,Baixo Amazonas,Óbidos
150304,Floresta do Araguaia,Pará,Sudeste Paraense,Conceição do Araguaia
150307,Garrafão do Norte,Pará,Nordeste Paraense,Guamá
150309,Goianésia do Pará,Pará,Sudeste Paraense,Paragominas
150310,Gurupá,Pará,Marajó,Portel
150320,Igarapé-Açu,Pará,Nordeste Paraense,Bragantina
150330,Igarapé-Miri,Pará,Nordeste Paraense,Cametá
150340,Inhangapi,Pará,Metropolitana de Belém,Castanhal
150345,Ipixuna do Pará,Pará,Nordeste Paraense,Guamá
150350,Irituia,Pará,Nordeste Paraense,Guamá
150360,Itaituba,Pará,Sudoeste Paraense,Itaituba
150370,Itupiranga,Pará,Sudeste Paraense,Tucuruí
150375,Jacareacanga,Pará,Sudoeste Paraense,Itaituba
150380,Jacundá,Pará,Sudeste Paraense,Tucuruí
150390,Juruti,Pará,Baixo Amazonas,Óbidos
150400,Limoeiro do Ajuru,Pará,Nordeste Paraense,Cametá
150405,Mãe do Rio,Pará,Nordeste Paraense,Guamá
150410,Magalhães Barata,Pará,Nordeste Paraense,Salgado
150420,Marabá,Pará,Sudeste Paraense,Marabá
150430,Maracanã,Pará,Nordeste Paraense,Salgado
150440,Marapanim,Pará,Nordeste Paraense,Salgado
150442,Marituba,Pará,Metropolitana de Belém,Belém
150445,Medicilândia,Pará,Sudoeste Paraense,Altamira
150450,Melgaço,Pará,Marajó,Portel
150460,Mocajuba,Pará,Nordeste Paraense,Cametá
150470,Moju,Pará,Nordeste Paraense,Tomé-Açu
150475,Mojuí dos Campos,Pará,Baixo Amazonas,Santarém
150480,Monte Alegre,Pará,Baixo Amazonas,Santarém
150490,Muaná,Pará,Marajó,Arari
150495,Nova Esperança do Piriá,Pará,Nordeste Paraense,Guamá
150497,Nova Ipixuna,Pará,Sudeste Paraense,Tucuruí
150500,Nova Timboteua,Pará,Nordeste Paraense,Bragantina
150503,Novo Progresso,Pará,Sudoeste Paraense,Itaituba
150506,Novo Repartimento,Pará,Sudeste Paraense,Tucuruí
150510,Óbidos,Pará,Baixo Amazonas,Óbidos
150520,Oeiras do Pará,Pará,Nordeste Paraense,Cametá
150530,Oriximiná,Pará,Baixo Amazonas,Óbidos
150540,Ourém,Pará,Nordeste Paraense,Guamá
150543,Ourilândia do Norte,Pará,Sudeste Paraense,São Félix do Xingu
150548,Pacajá,Pará,Sudoeste Paraense,Altamira
150549,Palestina do Pará,Pará,Sudeste Paraense,Marabá
150550,Paragominas,Pará,Sudeste Paraense,Paragominas
150553,Parauapebas,Pará,Sudeste Paraense,Parauapebas
150555,Pau D'Arco,Pará,Sudeste Paraense,Redenção
150560,Peixe-Boi,Pará,Nordeste Paraense,Bragantina
150563,Piçarra,Pará,Sudeste Paraense,Redenção
150565,Placas,Pará,Baixo Amazonas,Santarém
150570,Ponta de Pedras,Pará,Marajó,Arari
150580,Portel,Pará,Marajó,Portel
150590,Porto de Moz,Pará,Baixo Amazonas,Almeirim
150600,Prainha,Pará,Baixo Amazonas,Santarém
150610,Primavera,Pará,Nordeste Paraense,Bragantina
150611,Quatipuru,Pará,Nordeste Paraense,Bragantina
150613,Redenção,Pará,Sudeste Paraense,Redenção
150616,Rio Maria,Pará,Sudeste Paraense,Redenção
150618,Rondon do Pará,Pará,Sudeste Paraense,Paragominas
150619,Rurópolis,Pará,Sudoeste Paraense,Itaituba
150620,Salinópolis,Pará,Nordeste Paraense,Salgado
150630,Salvaterra,Pará,Marajó,Arari
150635,Santa Bárbara do Pará,Pará,Metropolitana de Belém,Belém
150640,Santa Cruz do Arari,Pará,Marajó,Arari
150650,Santa Izabel do Pará,Pará,Metropolitana de Belém,Castanhal
150655,Santa Luzia do Pará,Pará,Nordeste Paraense,Guamá
150658,Santa Maria das Barreiras,Pará,Sudeste Paraense,Conceição do Araguaia
150660,Santa Maria do Pará,Pará,Nordeste Paraense,Bragantina
150670,Santana do Araguaia,Pará,Sudeste Paraense,Conceição do Araguaia
150680,Santarém,Pará,Baixo Amazonas,Santarém
150690,Santarém Novo,Pará,Nordeste Paraense,Bragantina
150700,Santo Antônio do Tauá,Pará,Metropolitana de Belém,Castanhal
150710,São Caetano de Odivelas,Pará,Nordeste Paraense,Salgado
150715,São Domingos do Araguaia,Pará,Sudeste Paraense,Marabá
150720,São Domingos do Capim,Pará,Nordeste Paraense,Guamá
150730,São Félix do Xingu,Pará,Sudeste Paraense,São Félix do Xingu
150740,São Francisco do Pará,Pará,Nordeste Paraense,Bragantina
150745,São Geraldo do Araguaia,Pará,Sudeste Paraense,Redenção
150746,São João da Ponta,Pará,Nordeste Paraense,Salgado
150747,São João de Pirabas,Pará,Nordeste Paraense,Salgado
150750,São João do Araguaia,Pará,Sudeste Paraense,Marabá
150760,São Miguel do Guamá,Pará,Nordeste Paraense,Guamá
150770,São Sebastião da Boa Vista,Pará,Marajó,Furos de Breves
150775,Sapucaia,Pará,Sudeste Paraense,Redenção
150780,Senador José Porfírio,Pará,Sudoeste Paraense,Altamira
150790,Soure,Pará,Marajó,Arari
150795,Tailândia,Pará,Nordeste Paraense,Tomé-Açu
150796,Terra Alta,Pará,Nordeste Paraense,Salgado
150797,Terra Santa,Pará,Baixo Amazonas,Óbidos
150800,Tomé-Açu,Pará,Nordeste Paraense,Tomé-Açu
150803,Tracuateua,Pará,Nordeste Paraense,Bragantina
150805,Trairão,Pará,Sudoeste Paraense,Itaituba
150808,Tucumã,Pará,Sudeste Paraense,São Félix do Xingu
150810,Tucuruí,Pará,Sudeste Paraense,Tucuruí
150812,Ulianópolis,Pará,Sudeste Paraense,Paragominas
150815,Uruará,Pará,Sudoeste Paraense,Altamira
150820,Vigia,Pará,Nordeste Paraense,Salgado
150830,Viseu,Pará,Nordeste Paraense,Guamá
150835,Vitória do Xingu,Pará,Sudoeste Paraense,Altamira
150840,Xinguara,Pará,Sudeste Paraense,Redenção
